id_transacao,conta_origem,conta_destino,valor,aprovacao_IA,flag_controle_manual,descricao,data_hora
TX00002043,ACC001852,ACC000253,2556.5,SIM,NAO,TED,2025-03-23 02:09:32.328961
TX00000038,ACC002215,ACC001723,3870.08,SIM,NAO,Pagamento Manual,2025-03-23 02:26:23.812284
TX00001244,ACC000739,ACC000962,7328.5,SIM,SIM,Pagamento Manual,2025-03-23 02:49:17.641722
TX00002932,ACC001055,ACC002111,2874.69,NAO,NAO,Pagamento Boleto,2025-03-23 03:30:33.233226
TX00003896,ACC002283,ACC000646,4937.45,SIM,NAO,Pagamento Sem Comprovante,2025-03-23 03:41:25.098169
TX00002527,ACC000774,ACC001429,15253.66,SIM,NAO,Estorno,2025-03-23 03:48:39.402633
TX00000676,ACC000249,ACC001115,6453.28,NAO,NAO,Pagamento Boleto,2025-03-23 04:44:21.885981
TX00005774,ACC000189,ACC001542,7773.65,SIM,NAO,Reembolso,2025-03-23 06:03:19.288960
TX00000414,ACC001786,ACC000127,175111.94,SIM,NAO,Pagamento Boleto,2025-03-23 07:28:50.403167
TX00000406,ACC002480,ACC002143,5874.03,NAO,NAO,Estorno,2025-03-23 07:47:09.771160
TX00002139,ACC000572,ACC000743,7278.16,SIM,SIM,Pagamento Noturno,2025-03-23 08:11:57.818374
TX00002419,ACC000270,ACC000656,4020.81,SIM,SIM,Tarifa Bancária,2025-03-23 08:39:33.928467
TX00002859,ACC001997,ACC002461,5921.37,SIM,NAO,PIX - Fornecedor,2025-03-23 09:00:18.484587
TX00004318,ACC001253,ACC002430,4076.42,SIM,NAO,Folha PGTO,2025-03-23 09:17:03.824102
TX00002535,ACC000008,ACC001376,5215.6,SIM,NAO,Transferência Internacional,2025-03-23 14:09:07.761625
TX00004242,ACC001320,ACC002053,3176.48,SIM,NAO,Pagamento Cartório,2025-03-23 14:19:09.936988
TX00000546,ACC002435,ACC002283,2220.81,SIM,NAO,PIX - Serviços,2025-03-23 16:26:28.318529
TX00000445,ACC000776,ACC001392,1823.76,SIM,NAO,Pagamento Boleto,2025-03-23 16:44:18.379631
TX00005096,ACC000211,ACC001672,103473.88,SIM,NAO,Transferência Internacional,2025-03-23 17:24:52.205800
TX00000045,ACC002042,ACC001158,7040.24,SIM,SIM,Pagamento Sem Comprovante,2025-03-23 17:33:46.043847
TX00005276,ACC001474,ACC000913,12681.31,SIM,NAO,Compra Cartão Crédito,2025-03-23 17:37:06.808342
TX00004277,ACC001470,ACC001080,9409.94,SIM,NAO,TED - aluguéis,2025-03-23 18:43:36.303141
TX00002757,ACC000772,ACC000327,3786.22,SIM,NAO,TED,2025-03-23 19:28:08.334569
TX00002106,ACC000242,ACC000311,4249.05,SIM,NAO,Compra Cartão Crédito,2025-03-23 19:36:05.886673
TX00002367,ACC001583,ACC001438,3398.31,SIM,NAO,Tarifa Bancária,2025-03-23 19:55:26.871510
TX00000448,ACC000115,ACC001395,6435.98,SIM,NAO,Pagamento Manual,2025-03-23 20:18:05.153376
TX00005681,ACC001874,ACC001554,2935.27,SIM,SIM,Saque,2025-03-23 21:32:12.295218
TX00005693,ACC000984,ACC000870,7214.46,SIM,NAO,TED - consultoria,2025-03-23 21:48:50.492694
TX00002277,ACC001924,ACC002313,3285.88,SIM,NAO,Transferência PIX,2025-03-23 22:05:47.529385
TX00005855,ACC000608,ACC001788,3137.54,SIM,NAO,Pagamento Noturno,2025-03-24 00:11:31.770507
TX00000187,ACC000123,ACC001566,3077.63,SIM,NAO,Compra Cartão Crédito,2025-03-24 00:39:15.473123
TX00000037,ACC002069,ACC001300,5394.27,NAO,NAO,TED - consultoria,2025-03-24 00:42:14.667815
TX00005850,ACC001005,ACC002032,11302.5,SIM,NAO,TED - consultoria,2025-03-24 00:47:47.537379
TX00003884,ACC001069,ACC002301,3754.99,NAO,NAO,DOC,2025-03-24 00:52:42.634458
TX00002853,ACC000959,ACC000257,8591.53,NAO,SIM,Pagamento Cartório,2025-03-24 01:18:22.068233
TX00000415,ACC001782,ACC000080,7061.63,NAO,NAO,Pagamento Cartório,2025-03-24 01:20:27.085168
TX00002198,ACC000652,ACC001641,7060.48,SIM,NAO,Pagamento Manual,2025-03-24 01:36:37.275496
TX00005403,ACC000699,ACC001084,3450.93,SIM,NAO,Estorno,2025-03-24 01:42:00.665928
TX00003551,ACC001584,ACC002112,123570.54,SIM,NAO,Pagamento Boleto,2025-03-24 01:58:28.823150
TX00005827,ACC001302,ACC000046,14618.98,SIM,SIM,Tarifa Bancária,2025-03-24 02:01:02.910174
TX00004852,ACC001811,ACC002061,54334.26,NAO,SIM,Pagamento Cartório,2025-03-24 02:26:21.771881
TX00001004,ACC000710,ACC002150,4434.2,SIM,NAO,Estorno,2025-03-24 02:43:07.664737
TX00003471,ACC002330,ACC001893,5589.68,SIM,NAO,PIX - Fornecedor,2025-03-24 04:56:06.507027
TX00000772,ACC002193,ACC001608,9969.7,SIM,NAO,Compra Cartão Crédito,2025-03-24 05:20:01.655272
TX00005005,ACC001779,ACC001493,9745.27,SIM,NAO,Pagamento Cartório,2025-03-24 05:26:52.910783
TX00005152,ACC001078,ACC000206,6147.95,SIM,NAO,PIX - Serviços,2025-03-24 08:15:47.166967
TX00004921,ACC001410,ACC002221,230875.16,SIM,NAO,Estorno,2025-03-24 11:22:16.351918
TX00004873,ACC001879,ACC000520,1673.92,SIM,NAO,PIX - Fornecedor,2025-03-24 11:43:58.264623
TX00003542,ACC000272,ACC000428,6269.87,SIM,NAO,Pagamento Boleto,2025-03-24 11:53:38.633425
TX00003861,ACC001838,ACC000409,4771.04,SIM,NAO,PIX - Serviços,2025-03-24 12:05:50.402305
TX00004389,ACC000913,ACC001167,12519.09,SIM,NAO,Saque,2025-03-24 13:24:27.504028
TX00005376,ACC001142,ACC000504,5717.73,SIM,SIM,PIX - Serviços,2025-03-24 13:35:28.455628
TX00001015,ACC000849,ACC000520,1381.86,SIM,SIM,TED - consultoria,2025-03-24 15:39:54.519205
TX00001316,ACC001915,ACC001613,3989.75,SIM,NAO,TED - aluguéis,2025-03-24 15:58:32.681698
TX00003654,ACC002263,ACC000550,6892.6,NAO,SIM,PIX - Fornecedor,2025-03-24 17:00:00.540406
TX00001009,ACC000063,ACC001556,2386.66,SIM,NAO,Pagamento Sem Comprovante,2025-03-24 19:34:07.806186
TX00002026,ACC001134,ACC000892,6647.12,NAO,NAO,Compra Cartão Crédito,2025-03-24 20:00:30.781773
TX00005610,ACC002221,ACC000156,5555.21,SIM,NAO,Estorno,2025-03-24 23:12:45.396026
TX00005996,ACC000408,ACC000320,1498.77,SIM,NAO,Transferência PIX,2025-03-24 23:51:03.509307
TX00003432,ACC000667,ACC000833,3450.42,SIM,NAO,Pagamento Boleto,2025-03-25 00:17:40.542984
TX00001508,ACC001017,ACC001314,7489.21,SIM,SIM,Transferência Internacional,2025-03-25 02:27:07.486973
TX00001660,ACC001852,ACC000421,2096.6,SIM,SIM,TED,2025-03-25 03:09:42.359473
TX00002363,ACC001071,ACC002466,9052.3,SIM,NAO,DOC,2025-03-25 04:49:05.662727
TX00002691,ACC001144,ACC002347,3006.09,SIM,NAO,Pagamento Boleto,2025-03-25 06:00:53.865013
TX00004531,ACC000975,ACC002291,7399.71,SIM,NAO,Pagamento Manual,2025-03-25 06:01:13.118632
TX00005958,ACC002149,ACC001579,2235.91,NAO,SIM,DOC,2025-03-25 07:27:02.261846
TX00001775,ACC000688,ACC002030,6102.5,SIM,NAO,Pagamento Cartório,2025-03-25 09:54:12.772338
TX00005044,ACC000837,ACC001292,10489.43,SIM,NAO,Compra Cartão Crédito,2025-03-25 10:28:58.202799
TX00004352,ACC000699,ACC000461,7876.16,SIM,NAO,DOC,2025-03-25 11:26:46.340555
TX00005227,ACC002301,ACC000950,1869.45,NAO,NAO,TED,2025-03-25 11:31:14.291970
TX00000739,ACC001716,ACC001126,3791.89,SIM,SIM,DOC,2025-03-25 11:41:52.161832
TX00003261,ACC001674,ACC001778,84258.15,SIM,SIM,Compra Cripto,2025-03-25 11:50:03.099648
TX00005249,ACC001783,ACC000788,5325.47,SIM,NAO,Pagamento Cartório,2025-03-25 13:01:16.593803
TX00000080,ACC001181,ACC001038,2942.29,SIM,NAO,Tarifa Bancária,2025-03-25 13:27:39.863833
TX00005201,ACC000756,ACC002484,7876.28,SIM,NAO,PIX - Fornecedor,2025-03-25 14:16:23.766888
TX00005457,ACC000245,ACC001941,6174.62,SIM,NAO,Transferência Internacional,2025-03-25 14:31:41.675938
TXSMURF17_0,ACC001695,ACC001545,2516.906916076251,SIM,NAO,Transferência PIX,2025-03-25 14:35:09.076632
TXSMURF17_1,ACC001695,ACC001545,3013.4282909551675,SIM,NAO,Transferência PIX,2025-03-25 14:39:09.076632
TXSMURF17_2,ACC001695,ACC001545,2431.8965231273555,SIM,NAO,Transferência PIX,2025-03-25 14:42:09.076632
TXSMURF17_3,ACC001695,ACC001545,3731.3948307904557,SIM,NAO,Transferência PIX,2025-03-25 14:46:09.076632
TXSMURF17_4,ACC001695,ACC001545,1865.9199069735,SIM,NAO,Transferência PIX,2025-03-25 14:47:09.076632
TX00001258,ACC000318,ACC001701,2421.48,SIM,NAO,TED - consultoria,2025-03-25 15:41:34.139678
TX00000293,ACC001061,ACC000655,5017.06,NAO,NAO,Saque,2025-03-25 16:00:29.393789
TX00001811,ACC001157,ACC000210,6276.79,SIM,NAO,Pagamento Sem Comprovante,2025-03-25 16:16:32.544402
TX00000204,ACC001535,ACC001744,1755.62,SIM,NAO,Reembolso,2025-03-25 18:03:10.104039
TX00002197,ACC002197,ACC001861,8161.34,NAO,NAO,Pagamento Sem Comprovante,2025-03-25 18:41:34.457711
TX00000835,ACC000559,ACC001066,3731.56,SIM,NAO,Pagamento Manual,2025-03-25 19:36:03.398661
TX00001016,ACC001108,ACC000812,3811.05,NAO,NAO,PIX - Fornecedor,2025-03-25 19:42:26.699090
TX00000072,ACC000879,ACC000405,5124.68,SIM,NAO,Pagamento Sem Comprovante,2025-03-25 20:05:57.229053
TX00001569,ACC001440,ACC000919,5007.23,SIM,NAO,PIX - Fornecedor,2025-03-25 20:13:09.956290
TX00003222,ACC001998,ACC001719,187310.71,NAO,NAO,TED - aluguéis,2025-03-25 21:01:14.117896
TX00003729,ACC000301,ACC001265,15028.77,SIM,NAO,Pagamento Sem Comprovante,2025-03-25 21:36:04.156072
TX00005988,ACC000643,ACC000612,4236.0,SIM,NAO,TED - consultoria,2025-03-25 21:51:56.497166
TX00005494,ACC000508,ACC001829,5015.67,SIM,NAO,Tarifa Bancária,2025-03-25 22:16:23.648521
TX00004206,ACC002203,ACC002269,4143.49,SIM,SIM,PIX - Serviços,2025-03-25 23:14:36.618077
TX00004628,ACC000407,ACC000725,7406.02,SIM,NAO,Pagamento Boleto,2025-03-25 23:47:32.512868
TX00001018,ACC000148,ACC001925,4165.1,SIM,NAO,Tarifa Bancária,2025-03-25 23:53:58.417666
TX00001290,ACC001464,ACC002309,3943.23,NAO,NAO,Pagamento Sem Comprovante,2025-03-26 00:18:28.912710
TX00003430,ACC000010,ACC000438,4779.55,SIM,NAO,Compra Cripto,2025-03-26 00:19:32.872588
TX00000113,ACC000871,ACC001136,6979.37,NAO,SIM,DOC,2025-03-26 00:22:22.780710
TX00000905,ACC000821,ACC001001,2503.7,NAO,NAO,Pagamento Noturno,2025-03-26 01:42:23.028335
TX00004859,ACC000692,ACC001190,4985.89,SIM,NAO,Pagamento Noturno,2025-03-26 03:17:04.682002
TX00002572,ACC000269,ACC000362,11374.06,SIM,NAO,Pagamento Cartório,2025-03-26 04:10:17.069824
TX00005788,ACC001320,ACC000794,3930.27,SIM,NAO,Tarifa Bancária,2025-03-26 04:25:58.650187
TX00004579,ACC000732,ACC001802,8557.94,SIM,NAO,Pagamento Noturno,2025-03-26 04:32:21.113952
TX00005688,ACC002295,ACC001133,2529.28,SIM,SIM,Estorno,2025-03-26 05:34:41.039599
TX00003495,ACC001921,ACC001937,15094.46,SIM,NAO,Pagamento Noturno,2025-03-26 05:47:04.348551
TX00003950,ACC000251,ACC001418,3237.61,NAO,NAO,Pagamento Noturno,2025-03-26 05:55:30.924380
TX00004200,ACC001771,ACC000280,2153.63,NAO,NAO,Pagamento Sem Comprovante,2025-03-26 06:24:32.272015
TX00004962,ACC000522,ACC001542,3367.81,SIM,NAO,TED,2025-03-26 07:16:47.577749
TX00003698,ACC000403,ACC000008,4460.49,SIM,NAO,Pagamento Noturno,2025-03-26 07:30:54.066633
TX00000068,ACC001276,ACC001411,3877.05,SIM,NAO,Tarifa Bancária,2025-03-26 07:46:21.887058
TX00005484,ACC001984,ACC000725,6793.98,SIM,NAO,Transferência PIX,2025-03-26 09:45:04.492321
TX00002182,ACC001247,ACC001668,2641.87,SIM,NAO,Estorno,2025-03-26 09:52:26.442439
TX00002844,ACC000594,ACC001072,1581.58,SIM,NAO,Tarifa Bancária,2025-03-26 10:13:34.883712
TX00002478,ACC001634,ACC000049,3099.32,SIM,NAO,PIX - Serviços,2025-03-26 10:17:32.141074
TX00004959,ACC000588,ACC000269,3855.63,SIM,NAO,PIX - Fornecedor,2025-03-26 11:01:45.070105
TX00002016,ACC002002,ACC002225,6010.06,SIM,NAO,Transferência Internacional,2025-03-26 11:04:50.512951
TX00002817,ACC001728,ACC002036,4681.08,NAO,NAO,Compra Cartão Crédito,2025-03-26 14:41:08.020054
TX00004276,ACC001852,ACC002488,9569.15,SIM,NAO,Pagamento Manual,2025-03-26 15:08:55.435036
TX00003079,ACC002312,ACC000472,3016.35,SIM,NAO,Folha PGTO,2025-03-26 15:58:49.311500
TX00004345,ACC001854,ACC001584,8667.18,SIM,NAO,Transferência Internacional,2025-03-26 16:32:40.257372
TX00004880,ACC001631,ACC002478,12950.24,SIM,SIM,Compra Cartão Crédito,2025-03-26 16:44:55.053258
TX00004917,ACC001372,ACC001101,3976.38,SIM,NAO,Pagamento Sem Comprovante,2025-03-26 17:18:09.761425
TX00005513,ACC001658,ACC001192,3303.83,NAO,NAO,DOC,2025-03-26 18:02:48.846690
TX00004649,ACC001939,ACC000632,4054.67,NAO,NAO,Transferência PIX,2025-03-26 19:09:28.806426
TX00000291,ACC002147,ACC001707,9883.75,SIM,NAO,TED - consultoria,2025-03-26 20:38:05.071521
TX00004463,ACC002106,ACC000821,8981.82,SIM,NAO,TED - aluguéis,2025-03-26 20:41:36.644813
TX00004059,ACC002016,ACC001739,2066.56,SIM,NAO,Transferência Internacional,2025-03-26 21:38:57.229822
TX00005955,ACC002322,ACC000196,5785.81,NAO,NAO,PIX - Serviços,2025-03-26 21:48:42.477303
TX00003670,ACC000518,ACC000836,7015.19,SIM,NAO,Pagamento Sem Comprovante,2025-03-26 22:01:49.501014
TX00005346,ACC000420,ACC000539,2615.49,SIM,NAO,Pagamento Manual,2025-03-26 22:06:58.364631
TX00000215,ACC002199,ACC001438,10153.14,SIM,NAO,Pagamento Sem Comprovante,2025-03-26 22:35:14.076521
TX00004672,ACC000808,ACC000858,2401.8,SIM,NAO,DOC,2025-03-26 22:48:04.989781
TX00004158,ACC001001,ACC000571,8468.62,SIM,NAO,Estorno,2025-03-26 23:12:45.345296
TX00004168,ACC000093,ACC002261,6475.27,SIM,NAO,Pagamento Sem Comprovante,2025-03-26 23:35:36.415659
TX00002495,ACC000611,ACC000329,3943.35,SIM,NAO,Folha PGTO,2025-03-26 23:36:22.121685
TX00004171,ACC000434,ACC000937,6949.03,SIM,NAO,TED,2025-03-27 00:04:41.288489
TX00005365,ACC000814,ACC000185,5014.76,SIM,NAO,Saque,2025-03-27 00:19:32.068499
TX00001877,ACC001657,ACC002229,5517.7,SIM,SIM,TED - consultoria,2025-03-27 00:21:25.370105
TX00000383,ACC000513,ACC000231,6384.12,SIM,SIM,DOC,2025-03-27 00:40:50.358112
TX00005796,ACC001787,ACC001421,50987.16,NAO,SIM,Saque,2025-03-27 00:53:18.957817
TX00005597,ACC002231,ACC000994,5599.67,SIM,NAO,TED,2025-03-27 01:39:02.546201
TX00003730,ACC001092,ACC001260,5296.48,SIM,NAO,Reembolso,2025-03-27 02:09:22.354592
TX00005611,ACC000973,ACC002050,4404.44,SIM,NAO,Saque,2025-03-27 03:15:31.063582
TX00004081,ACC000690,ACC000037,4262.51,SIM,NAO,DOC,2025-03-27 04:27:06.814663
TX00004635,ACC000754,ACC000460,12758.3,SIM,NAO,Pagamento Noturno,2025-03-27 06:04:06.193819
TX00004725,ACC000959,ACC001447,6677.12,SIM,NAO,Pagamento Manual,2025-03-27 06:19:52.816254
TX00005063,ACC000852,ACC001301,6227.85,SIM,SIM,Folha PGTO,2025-03-27 06:22:57.931807
TX00002318,ACC001081,ACC001099,2728.59,SIM,NAO,Compra Cartão Crédito,2025-03-27 08:04:53.172547
TX00001309,ACC000054,ACC000942,11218.93,SIM,NAO,TED - consultoria,2025-03-27 08:46:39.065945
TX00002103,ACC002113,ACC001294,2525.83,SIM,NAO,Transferência Internacional,2025-03-27 09:23:22.300571
TX00003286,ACC001445,ACC001915,3382.71,SIM,SIM,Pagamento Cartório,2025-03-27 09:37:43.874187
TX00005192,ACC000730,ACC000769,2944.99,SIM,NAO,Pagamento Cartório,2025-03-27 11:13:52.182497
TX00000499,ACC001157,ACC002319,2504.07,SIM,NAO,TED,2025-03-27 11:47:46.849854
TX00005357,ACC002227,ACC002311,129527.37,SIM,NAO,Estorno,2025-03-27 12:48:03.639288
TX00003725,ACC000025,ACC000923,6851.18,SIM,NAO,Pagamento Boleto,2025-03-27 12:55:34.994208
TX00005757,ACC002332,ACC000375,13709.23,SIM,NAO,Pagamento Cartório,2025-03-27 13:01:34.667242
TX00005405,ACC001564,ACC001090,81127.03,SIM,NAO,TED,2025-03-27 13:20:35.584437
TX00004639,ACC000526,ACC000579,12176.23,SIM,NAO,Compra Cartão Crédito,2025-03-27 13:27:01.682855
TX00002089,ACC002140,ACC000810,5267.75,SIM,NAO,DOC,2025-03-27 13:59:47.063312
TX00001128,ACC001623,ACC000117,5410.85,SIM,NAO,Transferência PIX,2025-03-27 14:33:32.572064
TX00003028,ACC002195,ACC001595,120930.15,SIM,SIM,Transferência PIX,2025-03-27 15:37:43.413118
TX00004218,ACC000885,ACC001573,2784.46,SIM,SIM,Tarifa Bancária,2025-03-27 16:08:49.532262
TX00003319,ACC000631,ACC000427,3434.52,SIM,SIM,Transferência Internacional,2025-03-27 16:15:12.852839
TX00005056,ACC001582,ACC000377,3285.5,SIM,NAO,Reembolso,2025-03-27 16:17:13.875657
TX00000743,ACC000726,ACC002171,3359.12,SIM,NAO,TED,2025-03-27 17:45:42.102529
TX00002751,ACC000505,ACC000681,3505.72,SIM,NAO,Transferência PIX,2025-03-27 18:47:17.311125
TX00004898,ACC001908,ACC000764,4431.81,SIM,NAO,PIX - Fornecedor,2025-03-27 20:38:50.287100
TX00002913,ACC002469,ACC000383,10166.53,SIM,NAO,TED - consultoria,2025-03-28 00:53:31.794044
TX00005022,ACC000616,ACC001070,3360.4,SIM,NAO,Reembolso,2025-03-28 01:11:02.610825
TX00003058,ACC001347,ACC001852,4228.07,SIM,SIM,Pagamento Manual,2025-03-28 01:33:58.496104
TX00004005,ACC001086,ACC001258,4684.86,SIM,NAO,Estorno,2025-03-28 01:49:59.234165
TX00002265,ACC001054,ACC001519,5292.88,SIM,NAO,Pagamento Sem Comprovante,2025-03-28 02:42:30.353198
TX00004061,ACC000923,ACC000714,4849.42,SIM,NAO,Pagamento Sem Comprovante,2025-03-28 02:46:39.980424
TX00002140,ACC002077,ACC000967,5848.54,SIM,NAO,TED,2025-03-28 05:01:37.344748
TX00001472,ACC001411,ACC002012,2711.74,SIM,NAO,Pagamento Cartório,2025-03-28 05:18:52.820231
TX00002547,ACC002434,ACC000630,9156.35,SIM,NAO,Tarifa Bancária,2025-03-28 06:20:57.276576
TX00005646,ACC002285,ACC002474,5742.51,SIM,NAO,TED - aluguéis,2025-03-28 06:34:53.197088
TX00003423,ACC000872,ACC000529,6570.23,SIM,NAO,Pagamento Boleto,2025-03-28 08:24:45.610942
TX00001730,ACC001247,ACC000439,8905.52,SIM,NAO,TED,2025-03-28 09:50:30.748572
TX00003953,ACC002464,ACC000632,3640.62,SIM,NAO,Estorno,2025-03-28 10:15:33.002404
TX00004542,ACC000661,ACC000175,6313.64,SIM,NAO,Saque,2025-03-28 10:18:05.045458
TX00003103,ACC000188,ACC002012,2201.22,SIM,NAO,Compra Cripto,2025-03-28 10:52:26.993459
TX00004323,ACC002236,ACC002116,7521.11,NAO,NAO,Reembolso,2025-03-28 11:50:50.930015
TX00005219,ACC002156,ACC000355,10322.93,SIM,NAO,Compra Cartão Crédito,2025-03-28 12:20:37.510531
TX00005266,ACC001210,ACC000542,3672.57,SIM,NAO,Reembolso,2025-03-28 12:35:09.887813
TX00004581,ACC000615,ACC000953,3649.25,SIM,SIM,Pagamento Cartório,2025-03-28 13:21:50.496226
TX00005208,ACC001180,ACC000718,7898.05,SIM,NAO,PIX - Serviços,2025-03-28 14:42:28.283070
TX00001592,ACC000971,ACC000324,10952.71,SIM,NAO,TED - consultoria,2025-03-28 15:33:00.054676
TX00004694,ACC002419,ACC000762,7789.29,SIM,NAO,Compra Cartão Crédito,2025-03-28 16:42:07.984671
TX00000131,ACC001820,ACC001318,101592.24,NAO,NAO,Compra Cripto,2025-03-28 16:42:59.704224
TX00002797,ACC000892,ACC000395,2380.13,NAO,SIM,Reembolso,2025-03-28 17:15:47.547263
TX00004339,ACC001261,ACC001361,4034.62,SIM,NAO,Transferência PIX,2025-03-28 18:32:13.217250
TX00004461,ACC000293,ACC000330,19555.36,SIM,SIM,Folha PGTO,2025-03-28 18:35:12.253052
TX00002938,ACC002123,ACC001190,1550.09,SIM,NAO,TED,2025-03-28 19:00:19.823109
TX00005862,ACC001174,ACC001804,2017.71,NAO,NAO,PIX - Serviços,2025-03-28 20:12:44.756081
TX00003890,ACC001630,ACC001232,76649.42,SIM,NAO,DOC,2025-03-28 22:02:26.207476
TX00002594,ACC001388,ACC000585,14170.19,SIM,NAO,TED - consultoria,2025-03-28 22:36:47.840305
TX00000214,ACC001970,ACC000005,6962.83,SIM,NAO,PIX - Serviços,2025-03-28 23:15:13.516625
TX00003546,ACC002210,ACC000202,7438.47,SIM,NAO,PIX - Serviços,2025-03-29 01:50:23.067838
TX00005375,ACC000148,ACC001161,133473.12,SIM,NAO,TED - consultoria,2025-03-29 02:33:54.558193
TX00001591,ACC000014,ACC001215,4048.71,SIM,NAO,Folha PGTO,2025-03-29 02:41:40.104281
TX00005592,ACC000384,ACC000082,1272.17,SIM,NAO,TED - consultoria,2025-03-29 02:48:58.569175
TX00004259,ACC002149,ACC001819,188501.03,SIM,NAO,Estorno,2025-03-29 02:51:35.254472
TX00004932,ACC002078,ACC000691,2208.5,SIM,SIM,Folha PGTO,2025-03-29 03:17:03.344726
TX00001582,ACC001108,ACC000234,7696.55,SIM,NAO,Pagamento Cartório,2025-03-29 03:17:28.902624
TX00000243,ACC000104,ACC001064,17546.26,SIM,NAO,Saque,2025-03-29 04:38:19.409253
TX00002175,ACC002398,ACC000381,8272.43,SIM,NAO,Saque,2025-03-29 05:12:56.869761
TX00003074,ACC002242,ACC001695,3366.01,SIM,NAO,Estorno,2025-03-29 06:04:02.133914
TX00000018,ACC001216,ACC001538,3751.38,SIM,NAO,Pagamento Sem Comprovante,2025-03-29 06:58:09.380998
TX00002013,ACC001429,ACC001180,1921.8,SIM,NAO,TED,2025-03-29 07:25:34.906756
TX00004431,ACC001749,ACC000407,8101.2,SIM,SIM,DOC,2025-03-29 08:03:58.663305
TX00004905,ACC000016,ACC000981,6549.92,SIM,NAO,Estorno,2025-03-29 08:15:40.130085
TX00002394,ACC000704,ACC000852,87686.91,NAO,SIM,TED - aluguéis,2025-03-29 10:00:59.645392
TX00005129,ACC000720,ACC001126,1850.2,SIM,SIM,TED - aluguéis,2025-03-29 10:41:15.164738
TX00002373,ACC000837,ACC001260,1738.02,SIM,NAO,Compra Cripto,2025-03-29 11:28:18.430106
TX00001615,ACC001983,ACC001373,4574.28,NAO,NAO,Compra Cripto,2025-03-29 11:36:26.712806
TX00002978,ACC001578,ACC000123,59871.25,SIM,SIM,Estorno,2025-03-29 14:22:08.315453
TX00002227,ACC001246,ACC000426,3434.31,SIM,NAO,PIX - Fornecedor,2025-03-29 14:29:04.395065
TX00001110,ACC000521,ACC000229,116454.6,NAO,SIM,Tarifa Bancária,2025-03-29 14:42:27.739920
TX00003898,ACC000499,ACC001137,17379.59,SIM,NAO,PIX - Serviços,2025-03-29 14:42:45.820466
